"states","indicators","Unit","Date","Value"
"Nigeria","MAIZE (WHITE)","","2006",3796727
"Nigeria","MAIZE (YELLOW)","","2006",586216
"Nigeria","RICE (LOCAL)","","2006",4818354
"Nigeria","RICE (AGRIC)","","2006",1913611
"Nigeria","RICE (IMPORTED)","","2006",4645445
"Nigeria","MAIZE FLOUR","","2006",463935
"Nigeria","CASSAVA FLOUR","","2006",1206352
"Nigeria","CASSAVA","","2006",2169179
"Nigeria","Cassava (Akpu)","","2006",11398
"Nigeria","FRUITS (N)","","2006",3869900
"Nigeria","VEGETABLE (N)","","2006",10696088
"Nigeria","Fish fresh","","2006",638951
"Nigeria","Fish frozen","","2006",893989
"Nigeria","Dried fish","","2006",1376078
"Nigeria","fried fish","","2006",102254
"Nigeria","Smoked fish","","2006",101687
"Nigeria","Bush meat","","2006",185237
"Nigeria","Other Meat","","2006",638793
"Nigeria","OTHER ROOT/TUBER","","2006",483818
"Abuja","MAIZE (WHITE)","","2006",87962
"Abuja","MAIZE (YELLOW)","","2006",15797
"Abuja","RICE (LOCAL)","","2006",60491
"Abuja","RICE (AGRIC)","","2006",28704
"Abuja","RICE (IMPORTED)","","2006",165420
"Abuja","MAIZE FLOUR","","2006",3090
"Abuja","CASSAVA FLOUR","","2006",25685
"Abuja","CASSAVA","","2006",28495
"Abuja","Cassava (Akpu)","","2006",590
"Abuja","FRUITS (N)","","2006",35360
"Abuja","VEGETABLE (N)","","2006",160172
"Abuja","Fish fresh","","2006",21064
"Abuja","Fish frozen","","2006",18360
"Abuja","Dried fish","","2006",47368
"Abuja","fried fish","","2006",5205
"Abuja","Smoked fish","","2006",6020
"Abuja","Bush meat","","2006",7280
"Abuja","Other Meat","","2006",5000
"Abuja","OTHER ROOT/TUBER","","2006",2166
"Abia","MAIZE (WHITE)","","2006",62345
"Abia","MAIZE (YELLOW)","","2006",21769
"Abia","RICE (LOCAL)","","2006",34396
"Abia","RICE (AGRIC)","","2006",61141
"Abia","RICE (IMPORTED)","","2006",309041
"Abia","MAIZE FLOUR","","2006",11701
"Abia","CASSAVA FLOUR","","2006",6372
"Abia","CASSAVA","","2006",75672
"Abia","Cassava (Akpu)","","2006",6684
"Abia","FRUITS (N)","","2006",200397
"Abia","VEGETABLE (N)","","2006",436763
"Abia","Fish fresh","","2006",63306
"Abia","Fish frozen","","2006",110223
