"states","indicators","Unit","Date","Value"
"Abuja","Area 9","","2010",2.34431957691944
"Abuja","Area 9","","2011",2.62904345075078
"Abuja","Prod 9","","2010",0.94021018263443
"Abuja","Prod 9","","2011",0.911130507192129
"Abia","Area 9","","2010",1.71782037963925
"Abia","Area 9","","2011",1.42652752856738
"Abia","Prod 9","","2010",0.28701152943577
"Abia","Prod 9","","2011",0.27813488419549
"Akwa Ibom","Area 9","","2010",0.52545093965436
"Akwa Ibom","Area 9","","2011",0.54929077344414
"Akwa Ibom","Prod 9","","2010",0.14845423936333
"Akwa Ibom","Prod 9","","2011",0.143862871135598
"Anambra","Area 9","","2010",4.97157427519124
"Anambra","Area 9","","2011",5.17559731797148
"Anambra","Prod 9","","2010",0.97979797979798
"Anambra","Prod 9","","2011",0.99949494949495
"Benue","Area 9","","2010",2.34431957691944
"Benue","Area 9","","2011",2.22914345075078
"Benue","Prod 9","","2010",0.46515661667177
"Benue","Prod 9","","2011",0.580770329558208
"Cross River","Area 9","","2010",1.48540938709982
"Cross River","Area 9","","2011",1.36587968646709
"Cross River","Prod 9","","2010",1.0490766248342
"Cross River","Prod 9","","2011",1.0166309560249
"Delta","Area 9","","2010",1.93698177353858
"Delta","Area 9","","2011",2.13586740957597
"Delta","Prod 9","","2010",2.03671053974084
"Delta","Prod 9","","2011",2.10753392510968
"Ebonyi","Area 9","","2010",3.09207668335065
"Ebonyi","Area 9","","2011",3.26774955142129
"Ebonyi","Prod 9","","2010",2.74145495357617
"Ebonyi","Prod 9","","2011",2.65666768697072
"Edo","Area 9","","2010",7.28557937482293
"Edo","Area 9","","2011",8.17074322410048
"Edo","Prod 9","","2010",5.40373431282522
"Edo","Prod 9","","2011",5.23660850933578
"Ekiti","Area 9","","2010",3.11228633487581
"Ekiti","Area 9","","2011",3.09041458116914
"Ekiti","Prod 9","","2010",2.2762983369044
"Ekiti","Prod 9","","2011",2.50589735741251
"Enugu","Area 9","","2010",8.19463594295968
"Enugu","Area 9","","2011",8.06875059023515
"Enugu","Prod 9","","2010",7.90766248342006
"Enugu","Prod 9","","2011",7.66309560248954
"Imo","Area 9","","2010",12.35820190764
"Imo","Area 9","","2011",11.8596656908112
"Imo","Prod 9","","2010",8.33323130292827
"Imo","Prod 9","","2011",8.47550249974492
"Kaduna","Area 9","","2010",4.9833978657097
"Kaduna","Area 9","","2011",4.69166115780527
"Kaduna","Prod 9","","2010",7.07219671462096
"Kaduna","Prod 9","","2011",7.24109784715845
"Kano","Area 9","","2010",2.1826423647181
"Kano","Area 9","","2011",2.24782321276797
"Kano","Prod 9","","2010",2.5525966738088
"Kano","Prod 9","","2011",2.41179471482502
"Katsina","Area 9","","2010",0.76587024270469
"Katsina","Area 9","","2011",0.634620832939843
"Katsina","Prod 9","","2010",0.83134374043465
"Katsina","Prod 9","","2011",0.805632078359351
"Kebbi","Area 9","","2010",0.90838606100671
"Kebbi","Area 9","","2011",0.906601189914062
"Kebbi","Prod 9","","2010",1.01320273441486
"Kebbi","Prod 9","","2011",1.00330986634017
"Kogi","Area 9","","2010",3.47606006232883
"Kogi","Area 9","","2011",3.49838511663047
"Kogi","Prod 9","","2010",0.81154984185287
"Kogi","Prod 9","","2011",0.986450362207938
"Kwara","Area 9","","2010",32.9473038058362
"Kwara","Area 9","","2011",31.4923033336481
"Kwara","Prod 9","","2010",40.3997551270279
"Kwara","Prod 9","","2011",38.9812059993878
"Lagos","Area 9","","2010",1.40457078099915
"Lagos","Area 9","","2011",1.27521956747568
"Lagos","Prod 9","","2010",0.8709315375982
"Lagos","Prod 9","","2011",0.843995510662177
"Nassarawa","Area 9","","2010",2.21295684200586
"Nassarawa","Area 9","","2011",2.38182075738974
"Nassarawa","Prod 9","","2010",1.00948882767065
"Nassarawa","Prod 9","","2011",0.978267523722069
"Niger","Area 9","","2010",3.28406837283974
"Niger","Area 9","","2011",3.18306733402588
"Niger","Prod 9","","2010",1.98928680746863
"Niger","Prod 9","","2011",1.92776247321702
"Ogun","Area 9","","2010",0.83870053829446
"Ogun","Area 9","","2011",0.940598734535839
"Ogun","Prod 9","","2010",1.01835526987042
"Ogun","Prod 9","","2011",1.08376696255484
"Ondo","Area 9","","2010",7.07337803380867
"Ondo","Area 9","","2011",7.13276041174804
"Ondo","Prod 9","","2010",1.09856137128864
"Ondo","Prod 9","","2011",1.06458524640343
"Osun","Area 9","","2010",4.77958258570214
"Osun","Area 9","","2011",4.56027953536689
"Osun","Prod 9","","2010",0.96990103050709
"Osun","Prod 9","","2011",0.999904091419243
"Oyo","Area 9","","2010",5.52733969213335
"Oyo","Area 9","","2011",5.3988856360374
"Oyo","Prod 9","","2010",1.01938577696153
"Oyo","Prod 9","","2011",0.987858381797776
"Plateau","Area 9","","2010",0.9397487959203
"Plateau","Area 9","","2011",1.0539238832751
"Plateau","Prod 9","","2010",0.86103458830732
"Plateau","Prod 9","","2011",0.834404652586471
"Rivers","Area 9","","2010",0.01010482576258
"Rivers","Area 9","","2011",0.011332514873926
"Rivers","Prod 9","","2010",0.00958779716355
"Rivers","Prod 9","","2011",0.008363432302826
"Sokoto","Area 9","","2010",0.69723297761828
"Sokoto","Area 9","","2011",0.789943526300878
"Sokoto","Prod 9","","2010",0.57402305887154
"Sokoto","Prod 9","","2011",0.55626976839098
