"states","indicators","Unit","Date","Value"
"Abia","Area 10","","2010",13.4574774428873
"Abia","Area 10","","2011",14.4926680154171
"Abia","Prod 10","","2010",3.29537014112404
"Abia","Prod 10","","2011",3.34076091441776
"Adamawa","Area 10","","2010",5.32731810328278
"Adamawa","Area 10","","2011",5.3371118035353
"Adamawa","Prod 10","","2010",1.65771313031278
"Adamawa","Prod 10","","2011",1.65013342136392
"Akwa Ibom","Area 10","","2010",6.82472643501632
"Akwa Ibom","Area 10","","2011",5.34970539155603
"Akwa Ibom","Prod 10","","2010",2.24964925311545
"Akwa Ibom","Prod 10","","2011",1.25308794806195
"Bayelsa","Area 10","","2010",0.29756191207525
"Bayelsa","Area 10","","2011",0.320451289927197
"Bayelsa","Prod 10","","2010",0.08987373112156
"Bayelsa","Prod 10","","2011",0.091111661302303
"Cross River","Area 10","","2010",310.99059320407
"Cross River","Area 10","","2011",327.91294652746
"Cross River","Prod 10","","2010",71.4510192291821
"Cross River","Prod 10","","2011",69.4214189430827
"Delta","Area 10","","2010",10.6930312919946
"Delta","Area 10","","2011",11.5155721606096
"Delta","Prod 10","","2010",3.8145564083519
"Delta","Prod 10","","2011",3.92792495392149
"Edo","Area 10","","2010",105.283547705893
"Edo","Area 10","","2011",104.766897529424
"Edo","Prod 10","","2010",27.3571841214822
"Edo","Prod 10","","2011",23.6789084206762
"Ekiti","Area 10","","2010",97.0714148588981
"Ekiti","Area 10","","2011",98.1538313865056
"Ekiti","Prod 10","","2010",37.9694643888751
"Ekiti","Prod 10","","2011",36.464911556766
"Imo","Area 10","","2010",0.03839508542907
"Imo","Area 10","","2011",0.041348553538993
"Imo","Prod 10","","2010",0.00985970124618
"Imo","Prod 10","","2011",0.010235179224781
"Kogi","Area 10","","2010",3.56114417354579
"Kogi","Area 10","","2011",3.83507834074162
"Kogi","Prod 10","","2010",1.04852686308492
"Kogi","Prod 10","","2011",1.0629693818602
"Kwara","Area 10","","2010",4.77058936456134
"Kwara","Area 10","","2011",5.1375577772199
"Kwara","Prod 10","","2010",1.40802178757118
"Kwara","Prod 10","","2011",1.42741602706941
"Lagos","Area 10","","2010",0.90228450758303
"Lagos","Area 10","","2011",0.971691008166339
"Lagos","Prod 10","","2010",0.19971940249237
"Lagos","Prod 10","","2011",0.202470358449561
"Ogun","Area 10","","2010",89.8444999040123
"Ogun","Area 10","","2011",92.755615281244
"Ogun","Prod 10","","2010",19.8835256251547
"Ogun","Prod 10","","2011",19.9030783197161
"Ondo","Area 10","","2010",320.186024188904
"Ondo","Area 10","","2011",321.969564511127
"Ondo","Prod 10","","2010",91.9949657505983
"Ondo","Prod 10","","2011",92.2207917251245
"Osun","Area 10","","2010",237.060856210405
"Osun","Area 10","","2011",251.296306688129
"Osun","Prod 10","","2010",71.097301312206
"Osun","Prod 10","","2011",74.1041511925394
"Oyo","Area 10","","2010",107.746208485314
"Oyo","Area 10","","2011",109.0343783688
"Oyo","Prod 10","","2010",33.5700255838904
"Oyo","Prod 10","","2011",36.0599708398669
"Rivers","Area 10","","2010",0.16317911307353
"Rivers","Area 10","","2011",0.175731352540721
"Rivers","Prod 10","","2010",0.04957910373855
"Rivers","Prod 10","","2011",0.303705537674342
"Taraba","Area 10","","2010",9.78114801305433
"Taraba","Area 10","","2011",10.5335440140585
"Taraba","Prod 10","","2010",4.32364446645209
"Taraba","Prod 10","","2011",4.88595361888256
