"states","indicators","Unit","Date","Value"
"Abia","Area 14","","2010",0.35303916487747
"Abia","Area 14","","2011",0.34192991115499
"Abia","Prod 14","","2010",0.27158933859822
"Abia","Prod 14","","2011",0.28158933859822
"Akwa Ibom","Area 14","","2010",0.3761360775894
"Akwa Ibom","Area 14","","2011",0.3609081934847
"Akwa Ibom","Prod 14","","2010",0.34476801579467
"Akwa Ibom","Prod 14","","2011",0.35471101579467
"Anambra","Area 14","","2010",5.75246168653291
"Anambra","Area 14","","2011",5.5714461994077
"Anambra","Prod 14","","2010",2.90299851924975
"Anambra","Prod 14","","2011",2.30299851924975
"Benue","Area 14","","2010",3.06154216332272
"Benue","Area 14","","2011",3.44946939782823
"Benue","Prod 14","","2010",3.00776653504442
"Benue","Prod 14","","2011",3.14776653504442
"Cross River","Area 14","","2010",0.02076700969867
"Cross River","Area 14","","2011",0.02011352418559
"Cross River","Prod 14","","2010",0.01005676209279
"Cross River","Prod 14","","2011",0.09105676209279
"Delta","Area 14","","2010",0.19728659213741
"Delta","Area 14","","2011",0.19107847976308
"Delta","Prod 14","","2010",0.07011352418559
"Delta","Prod 14","","2011",0.65011352418559
"Edo","Area 14","","2010",0.45687421337085
"Edo","Area 14","","2011",0.44249753208292
"Edo","Prod 14","","2010",0.35107847976308
"Edo","Prod 14","","2011",0.29107847976308
"Ekiti","Area 14","","2010",19.3069519508403
"Ekiti","Area 14","","2011",20.6364758144126
"Ekiti","Prod 14","","2010",11.0040276406713
"Ekiti","Prod 14","","2011",11.3440276406713
"Enugu","Area 14","","2010",4.50484933738062
"Enugu","Area 14","","2011",4.34735932872655
"Enugu","Prod 14","","2010",1.60794669299112
"Enugu","Prod 14","","2011",1.40792269299112
"Imo","Area 14","","2010",0.44649070852151
"Imo","Area 14","","2011",0.43244076999013
"Imo","Prod 14","","2010",0.09039733464956
"Imo","Prod 14","","2011",0.08739733464956
"Kogi","Area 14","","2010",4.99446583253128
"Kogi","Area 14","","2011",4.83730256663376
"Kogi","Prod 14","","2010",3.3388450148075
"Kogi","Prod 14","","2011",3.5218450148075
"Lagos","Area 14","","2010",0.19728659213741
"Lagos","Area 14","","2011",0.19107847976308
"Lagos","Prod 14","","2010",0.06034057255676
"Lagos","Prod 14","","2011",0.06434057255676
"Niger","Area 14","","2010",0.03115051454801
"Niger","Area 14","","2011",0.03017028627838
"Niger","Prod 14","","2010",0.02051085883514
"Niger","Prod 14","","2011",0.01851085883514
"Ogun","Area 14","","2010",64.8657547938106
"Ogun","Area 14","","2011",65.824592793682
"Ogun","Prod 14","","2010",50.4648321816387
"Ogun","Prod 14","","2011",51.4648321816387
"Ondo","Area 14","","2010",79.9945213592952
"Ondo","Area 14","","2011",77.4772951628825
"Ondo","Prod 14","","2010",49.3629689042448
"Ondo","Prod 14","","2011",50.8629689042448
"Osun","Area 14","","2010",60.2842785222477
"Osun","Area 14","","2011",62.2614141164857
"Osun","Prod 14","","2010",38.3268139190523
"Osun","Prod 14","","2011",37.3268139190523
"Oyo","Area 14","","2010",20.8884282224032
"Oyo","Area 14","","2011",21.1996544916091
"Oyo","Prod 14","","2010",6.91621421520237
"Oyo","Prod 14","","2011",7.61621421520237
"Rivers","Area 14","","2010",1.2771710964685
"Rivers","Area 14","","2011",1.23698173741362
"Rivers","Prod 14","","2010",0.70397334649556
"Rivers","Prod 14","","2011",0.69397334649556
"Taraba","Area 14","","2010",5.70014416228622
"Taraba","Area 14","","2011",5.52116238894373
"Taraba","Prod 14","","2010",2.61475114412636
"Taraba","Prod 14","","2011",2.70475814412636
