"states","indicators","Unit","Date","Value"
"Abuja","Area 12","","2010",0.72911175425739
"Abuja","Area 12","","2011",0.78376538686077
"Abuja","Prod 12","","2010",0.17085925144966
"Abuja","Prod 12","","2011",0.16707919386886
"Abia","Area 12","","2010",52.8070354130697
"Abia","Area 12","","2011",53.030978672662
"Abia","Prod 12","","2010",48.4254085397997
"Abia","Prod 12","","2011",49.2273630428612
"Adamawa","Area 12","","2010",0.81157645918988
"Adamawa","Area 12","","2011",0.80319860384811
"Adamawa","Prod 12","","2010",0.20542962572483
"Adamawa","Prod 12","","2011",0.20353959693443
"Akwa Ibom","Area 12","","2010",167.666973058243
"Akwa Ibom","Area 12","","2011",172.823853826375
"Akwa Ibom","Prod 12","","2010",131.403268318397
"Akwa Ibom","Prod 12","","2011",135.81890434289
"Anambra","Area 12","","2010",72.0272771311811
"Anambra","Area 12","","2011",74.2641757859565
"Anambra","Prod 12","","2010",52.4301528729573
"Anambra","Prod 12","","2011",53.4632415554925
"Bayelsa","Area 12","","2010",33.8401878097557
"Bayelsa","Area 12","","2011",36.0660812103295
"Bayelsa","Prod 12","","2010",16.9862941486558
"Bayelsa","Prod 12","","2011",15.3698552370139
"Benue","Area 12","","2010",62.5461140025091
"Benue","Area 12","","2011",58.2252971791273
"Benue","Prod 12","","2010",48.5461254612546
"Benue","Prod 12","","2011",47.5881351121204
"Cross River","Area 12","","2010",121.449687604805
"Cross River","Area 12","","2011",121.593786875675
"Cross River","Prod 12","","2010",95.4032683183975
"Cross River","Prod 12","","2011",101.741981265967
"Delta","Area 12","","2010",127.700075769809
"Delta","Area 12","","2011",130.211844932739
"Delta","Prod 12","","2010",97.248286768582
"Delta","Prod 12","","2011",104.728924212319
"Ebonyi","Area 12","","2010",114.344094302359
"Ebonyi","Area 12","","2011",111.070217496615
"Ebonyi","Prod 12","","2010",83.3104902477596
"Ebonyi","Prod 12","","2011",89.7189894975873
"Edo","Area 12","","2010",96.9549231743823
"Edo","Area 12","","2011",102.658153949346
"Edo","Prod 12","","2010",72.31418028466
"Edo","Prod 12","","2011",70.8768095373261
"Ekiti","Area 12","","2010",74.751263865254
"Ekiti","Area 12","","2011",79.1483970337983
"Ekiti","Prod 12","","2010",56.594623089088
"Ekiti","Prod 12","","2011",60.9480556344025
"Enugu","Area 12","","2010",68.1841330567528
"Enugu","Area 12","","2011",72.1949644130324
"Enugu","Prod 12","","2010",59.7047970479705
"Enugu","Prod 12","","2011",56.2974737439682
"Imo","Area 12","","2010",162.710695964326
"Imo","Area 12","","2011",164.281913373992
"Imo","Prod 12","","2010",120.189773326305
"Imo","Prod 12","","2011",124.435140505251
"Kaduna","Area 12","","2010",7.13274622082552
"Kaduna","Area 12","","2011",8.66996658675643
"Kaduna","Prod 12","","2010",3.20600948866632
"Kaduna","Prod 12","","2011",4.09877944933295
"Kogi","Area 12","","2010",62.4933235619263
"Kogi","Area 12","","2011",64.1694014185102
"Kogi","Prod 12","","2010",52.3668950975224
"Kogi","Prod 12","","2011",54.3951177973318
"Kwara","Area 12","","2010",5.32127641074689
"Kwara","Area 12","","2011",5.63429267020259
"Kwara","Prod 12","","2010",2.84659989457037
"Kwara","Prod 12","","2011",3.06556911722963
"Lagos","Area 12","","2010",7.03168668562982
"Lagos","Area 12","","2011",7.44531531419628
"Lagos","Prod 12","","2010",4.64944649446494
"Lagos","Prod 12","","2011",5.0070962248084
"Nassarawa","Area 12","","2010",9.90001242128014
"Nassarawa","Area 12","","2011",9.41177785782603
"Nassarawa","Prod 12","","2010",5.67944122298366
"Nassarawa","Prod 12","","2011",5.51632131705932
"Niger","Area 12","","2010",22.0980784279628
"Niger","Area 12","","2011",23.3979653943135
"Niger","Prod 12","","2010",7.61201897733263
"Niger","Prod 12","","2011",8.19755889866591
"Ogun","Area 12","","2010",86.3123703528886
"Ogun","Area 12","","2011",88.3895686089408
"Ogun","Prod 12","","2010",54.9393779652082
"Ogun","Prod 12","","2011",59.1654839625319
"Ondo","Area 12","","2010",117.553753089793
"Ondo","Area 12","","2011",120.468679742134
"Ondo","Prod 12","","2010",100.369003690037
"Ondo","Prod 12","","2011",101.089696281578
"Osun","Area 12","","2010",78.2987814724185
"Osun","Area 12","","2011",80.9045921472667
"Osun","Prod 12","","2010",70.0474433315762
"Osun","Prod 12","","2011",71.4357082032359
"Oyo","Area 12","","2010",99.6050032916392
"Oyo","Area 12","","2011",102.464121132324
"Oyo","Prod 12","","2010",82.1507643647865
"Oyo","Prod 12","","2011",86.4700539313086
"Rivers","Area 12","","2010",20.8733402064417
"Rivers","Area 12","","2011",22.1011837479971
"Rivers","Prod 12","","2010",15.2451238798102
"Rivers","Prod 12","","2011",16.4178257167187
"Taraba","Area 12","","2010",14.3544784925534
"Taraba","Area 12","","2011",14.0165066391742
"Taraba","Prod 12","","2010",6.11491829204006
"Taraba","Prod 12","","2011",6.08529662219699
