"states","indicators","Unit","Date","Value"
"Abuja","Cashew nuts","","2010",63.1755793226381
"Abuja","Cashew nuts","","2011",69.3063973063973
"Abuja","Area 12","","2010",0.72911175425739
"Abuja","Area 12","","2011",0.78376538686077
"Abuja","Prod 12","","2010",0.17085925144966
"Abuja","Prod 12","","2011",0.16707919386886
"Abuja","Area 9","","2010",2.34431957691944
"Abuja","Area 9","","2011",2.62904345075078
"Abuja","Prod 9","","2010",0.94021018263443
"Abuja","Prod 9","","2011",0.911130507192129
"Abuja","Palm oil 2","","2010",200
"Abuja","Palm oil 2","","2011",117.647058823529
"Abuja","Area 7","","2010",0.23610730906105
"Abuja","Area 7","","2011",0.2392554065
"Abuja","Prod 7","","2010",2.8465810990811
"Abuja","Prod 7","","2011",2.7516979624
"Abuja","Sugarcane 2","","2010",27.5977011494253
"Abuja","Sugarcane 2","","2011",29.1436781609195
"Abia","Cocoa beans","","2010",134.166666666667
"Abia","Cocoa beans","","2011",191.155555555556
"Abia","Cashew nuts","","2010",86.8833333333333
"Abia","Cashew nuts","","2011",60.3055555555556
"Abia","Area 12","","2010",52.8070354130697
"Abia","Area 12","","2011",53.030978672662
"Abia","Prod 12","","2010",48.4254085397997
"Abia","Prod 12","","2011",49.2273630428612
"Abia","Area 9","","2010",1.71782037963925
"Abia","Area 9","","2011",1.42652752856738
"Abia","Prod 9","","2010",0.28701152943577
"Abia","Prod 9","","2011",0.27813488419549
"Abia","Area 10","","2010",13.4574774428873
"Abia","Area 10","","2011",14.4926680154171
"Abia","Prod 10","","2010",3.29537014112404
"Abia","Prod 10","","2011",3.34076091441776
"Abia","Palm oil 2","","2010",154.620448179272
"Abia","Palm oil 2","","2011",157.584041103072
"Abia","Area 14","","2010",0.35303916487747
"Abia","Area 14","","2011",0.34192991115499
"Abia","Prod 14","","2010",0.27158933859822
"Abia","Prod 14","","2011",0.28158933859822
"Abia","Kola nuts","","2010",102.678062678063
"Abia","Kola nuts","","2011",106.283931623932
"Adamawa","Cocoa beans","","2010",194.131196581197
"Adamawa","Cocoa beans","","2011",228.688205128205
"Adamawa","Cashew nuts","","2010",51.7963800904977
"Adamawa","Cashew nuts","","2011",66.2897435897436
"Adamawa","Area 12","","2010",0.81157645918988
"Adamawa","Area 12","","2011",0.80319860384811
"Adamawa","Prod 12","","2010",0.20542962572483
"Adamawa","Prod 12","","2011",0.20353959693443
"Adamawa","Area 10","","2010",5.32731810328278
"Adamawa","Area 10","","2011",5.3371118035353
"Adamawa","Prod 10","","2010",1.65771313031278
"Adamawa","Prod 10","","2011",1.65013342136392
"Adamawa","Area 7","","2010",4.26019709827539
"Adamawa","Area 7","","2011",4.3169997263
"Adamawa","Prod 7","","2010",52.6404029450374
"Adamawa","Prod 7","","2011",50.8857228469
"Adamawa","Sugarcane 2","","2010",27.6448717948718
"Adamawa","Sugarcane 2","","2011",34.8420085470086
"Akwa Ibom","Cocoa beans","","2010",122.142857142857
"Akwa Ibom","Cocoa beans","","2011",131.798571428571
"Akwa Ibom","Cashew nuts","","2010",94.5
"Akwa Ibom","Cashew nuts","","2011",72
"Akwa Ibom","Area 12","","2010",167.666973058243
"Akwa Ibom","Area 12","","2011",172.823853826375
"Akwa Ibom","Prod 12","","2010",131.403268318397
"Akwa Ibom","Prod 12","","2011",135.81890434289
"Akwa Ibom","Area 9","","2010",0.52545093965436
"Akwa Ibom","Area 9","","2011",0.54929077344414
"Akwa Ibom","Prod 9","","2010",0.14845423936333
"Akwa Ibom","Prod 9","","2011",0.143862871135598
"Akwa Ibom","Area 10","","2010",6.82472643501632
"Akwa Ibom","Area 10","","2011",5.34970539155603
"Akwa Ibom","Prod 10","","2010",2.24964925311545
"Akwa Ibom","Prod 10","","2011",1.25308794806195
"Akwa Ibom","Palm oil 2","","2010",177.70826446281
"Akwa Ibom","Palm oil 2","","2011",156.19012125025
"Akwa Ibom","Area 14","","2010",0.3761360775894
"Akwa Ibom","Area 14","","2011",0.3609081934847
"Akwa Ibom","Prod 14","","2010",0.34476801579467
"Akwa Ibom","Prod 14","","2011",0.35471101579467
"Akwa Ibom","Kola nuts","","2010",150
"Akwa Ibom","Kola nuts","","2011",156.25
"Anambra","Cashew nuts","","2010",69.2117647058824
"Anambra","Cashew nuts","","2011",72.4533333333333
"Anambra","Area 12","","2010",72.0272771311811
"Anambra","Area 12","","2011",74.2641757859565
"Anambra","Prod 12","","2010",52.4301528729573
"Anambra","Prod 12","","2011",53.4632415554925
"Anambra","Area 9","","2010",4.97157427519124
"Anambra","Area 9","","2011",5.17559731797148
"Anambra","Prod 9","","2010",0.97979797979798
"Anambra","Prod 9","","2011",0.99949494949495
"Anambra","Palm oil 2","","2010",147.058823529412
"Anambra","Palm oil 2","","2011",86.5051903114187
"Anambra","Area 14","","2010",5.75246168653291
"Anambra","Area 14","","2011",5.5714461994077
"Anambra","Prod 14","","2010",2.90299851924975
"Anambra","Prod 14","","2011",2.30299851924975
"Bauchi","Area 7","","2010",0.73911853271284
"Bauchi","Area 7","","2011",0.6489734465
"Bauchi","Prod 7","","2010",0.71699674676103
"Bauchi","Prod 7","","2011",0.9930968552
"Bauchi","Sugarcane 2","","2010",23.0962059620596
"Bauchi","Sugarcane 2","","2011",19.9494241192412
"Bayelsa","Area 12","","2010",33.8401878097557
"Bayelsa","Area 12","","2011",36.0660812103295
"Bayelsa","Prod 12","","2010",16.9862941486558
"Bayelsa","Prod 12","","2011",15.3698552370139
"Bayelsa","Area 10","","2010",0.29756191207525
"Bayelsa","Area 10","","2011",0.320451289927197
"Bayelsa","Prod 10","","2010",0.08987373112156
"Bayelsa","Prod 10","","2011",0.091111661302303
"Bayelsa","Palm oil 2","","2010",200
"Bayelsa","Palm oil 2","","2011",117.647058823529
"Bayelsa","Area 7","","2010",5.06126471393375
"Bayelsa","Area 7","","2011",5.0340815768
"Bayelsa","Prod 7","","2010",35.6548712973004
"Bayelsa","Prod 7","","2011",33.5997089207
"Bayelsa","Sugarcane 2","","2010",20.4749287749288
"Bayelsa","Sugarcane 2","","2011",20.5162788857233
"Benue","Cashew nuts","","2010",69.156862745098
"Benue","Cashew nuts","","2011",69
"Benue","Area 12","","2010",62.5461140025091
"Benue","Area 12","","2011",58.2252971791273
"Benue","Prod 12","","2010",48.5461254612546
"Benue","Prod 12","","2011",47.5881351121204
"Benue","Area 9","","2010",2.34431957691944
"Benue","Area 9","","2011",2.22914345075078
"Benue","Prod 9","","2010",0.46515661667177
"Benue","Prod 9","","2011",0.580770329558208
"Benue","Palm oil 2","","2010",194.545454545455
"Benue","Palm oil 2","","2011",125.133689839572
"Benue","Area 14","","2010",3.06154216332272
"Benue","Area 14","","2011",3.44946939782823
"Benue","Prod 14","","2010",3.00776653504442
"Benue","Prod 14","","2011",3.14776653504442
"Benue","Kola nuts","","2010",175
"Benue","Kola nuts","","2011",179.166666666667
"Benue","Area 7","","2010",0.63646318094717
"Benue","Area 7","","2011",0.6449493567
"Benue","Prod 7","","2010",9.33165915187489
"Benue","Prod 7","","2011",9.0206038468
"Benue","Sugarcane 2","","2010",23.4261363636364
"Benue","Sugarcane 2","","2011",26.3722222222222
"Borno","Area 7","","2010",0.27716944976732
"Borno","Area 7","","2011",0.2808650424
"Borno","Prod 7","","2010",2.21519890417214
"Borno","Prod 7","","2011",2.8413589407
"Borno","Sugarcane 2","","2010",30.1
"Borno","Sugarcane 2","","2011",32.3
"Cross River","Cocoa beans","","2010",172.346585998271
"Cross River","Cocoa beans","","2011",173.65347985348
"Cross River","Cashew nuts","","2010",80.5429864253394
"Cross River","Cashew nuts","","2011",81.4102564102564
"Cross River","Area 12","","2010",121.449687604805
"Cross River","Area 12","","2011",121.593786875675
"Cross River","Prod 12","","2010",95.4032683183975
"Cross River","Prod 12","","2011",101.741981265967
"Cross River","Area 9","","2010",1.48540938709982
"Cross River","Area 9","","2011",1.36587968646709
"Cross River","Prod 9","","2010",1.0490766248342
"Cross River","Prod 9","","2011",1.0166309560249
"Cross River","Area 10","","2010",310.99059320407
"Cross River","Area 10","","2011",327.91294652746
"Cross River","Prod 10","","2010",71.4510192291821
"Cross River","Prod 10","","2011",69.4214189430827
"Cross River","Palm oil 2","","2010",155.686974789916
"Cross River","Palm oil 2","","2011",137.027829051104
"Cross River","Area 14","","2010",0.02076700969867
"Cross River","Area 14","","2011",0.02011352418559
"Cross River","Prod 14","","2010",0.01005676209279
"Cross River","Prod 14","","2011",0.09105676209279
"Cross River","Kola nuts","","2010",156
"Cross River","Kola nuts","","2011",126.050925925926
"Cross River","Sugarcane 2","","2010",29
"Cross River","Sugarcane 2","","2011",28.2936507936508
"Delta","Cocoa beans","","2010",168
"Delta","Cocoa beans","","2011",184
"Delta","Cashew nuts","","2010",100
"Delta","Cashew nuts","","2011",57.2222222222222
"Delta","Area 12","","2010",127.700075769809
"Delta","Area 12","","2011",130.211844932739
"Delta","Prod 12","","2010",97.248286768582
"Delta","Prod 12","","2011",104.728924212319
"Delta","Area 9","","2010",1.93698177353858
"Delta","Area 9","","2011",2.13586740957597
"Delta","Prod 9","","2010",2.03671053974084
"Delta","Prod 9","","2011",2.10753392510968
"Delta","Area 10","","2010",10.6930312919946
"Delta","Area 10","","2011",11.5155721606096
"Delta","Prod 10","","2010",3.8145564083519
"Delta","Prod 10","","2011",3.92792495392149
"Delta","Palm oil 2","","2010",159.636363636364
"Delta","Palm oil 2","","2011",151.751336898396
"Delta","Area 14","","2010",0.19728659213741
"Delta","Area 14","","2011",0.19107847976308
"Delta","Prod 14","","2010",0.07011352418559
"Delta","Prod 14","","2011",0.65011352418559
