"states","indicators","Unit","Date","Value"
"Abuja","Area 7","","2010",0.23610730906105
"Abuja","Area 7","","2011",0.2392554065
"Abuja","Prod 7","","2010",2.8465810990811
"Abuja","Prod 7","","2011",2.7516979624
"Adamawa","Area 7","","2010",4.26019709827539
"Adamawa","Area 7","","2011",4.3169997263
"Adamawa","Prod 7","","2010",52.6404029450374
"Adamawa","Prod 7","","2011",50.8857228469
"Bauchi","Area 7","","2010",0.73911853271284
"Bauchi","Area 7","","2011",0.6489734465
"Bauchi","Prod 7","","2010",0.71699674676103
"Bauchi","Prod 7","","2011",0.9930968552
"Bayelsa","Area 7","","2010",5.06126471393375
"Bayelsa","Area 7","","2011",5.0340815768
"Bayelsa","Prod 7","","2010",35.6548712973004
"Bayelsa","Prod 7","","2011",33.5997089207
"Benue","Area 7","","2010",0.63646318094717
"Benue","Area 7","","2011",0.6449493567
"Benue","Prod 7","","2010",9.33165915187489
"Benue","Prod 7","","2011",9.0206038468
"Borno","Area 7","","2010",0.27716944976732
"Borno","Area 7","","2011",0.2808650424
"Borno","Prod 7","","2010",2.21519890417214
"Borno","Prod 7","","2011",2.8413589407
"Delta","Area 7","","2010",0.33876266082672
"Delta","Area 7","","2011",0.3032794963
"Delta","Prod 7","","2010",3.70269961760174
"Delta","Prod 7","","2011",3.179276297
"Ebonyi","Area 7","","2010",0.15398302764851
"Ebonyi","Area 7","","2011",0.1560361347
"Ebonyi","Prod 7","","2010",3.93813138519491
"Ebonyi","Prod 7","","2011",2.806860339
"Edo","Area 7","","2010",0.45168354776896
"Edo","Area 7","","2011",0.4577059951
"Edo","Prod 7","","2010",11.439843616232
"Edo","Prod 7","","2011",10.0985154957
"Ekiti","Area 7","","2010",0.47221461812209
"Ekiti","Area 7","","2011",0.478510813
"Ekiti","Prod 7","","2010",6.70980537640546
"Ekiti","Prod 7","","2011",6.4861451972
"Enugu","Area 7","","2010",0.03153107035313
"Enugu","Area 7","","2011",0.020804818
"Enugu","Prod 7","","2010",0.19771588379659
"Enugu","Prod 7","","2011",0.113792021
"Gombe","Area 7","","2010",1.03717492471941
"Gombe","Area 7","","2011",1.156337257
"Gombe","Prod 7","","2010",10.8464984875293
"Gombe","Prod 7","","2011",11.4516152046
"Jigawa","Area 7","","2010",6.36463180947167
"Jigawa","Area 7","","2011",6.4494935669
"Jigawa","Prod 7","","2010",118.111837223903
"Jigawa","Prod 7","","2011",114.1747759831
"Kaduna","Area 7","","2010",8.67437722419929
"Kaduna","Area 7","","2011",8.7900355872
"Kaduna","Prod 7","","2010",199.870869242623
"Kaduna","Prod 7","","2011",197.2085069345
"Kano","Area 7","","2010",11.0175745962223
"Kano","Area 7","","2011",13.2658089242
"Kano","Prod 7","","2010",399.64391301866
"Kano","Prod 7","","2011",401.189115918
"Katsina","Area 7","","2010",8.19047358335615
"Katsina","Area 7","","2011",6.9983465645
"Katsina","Prod 7","","2010",221.158723817134
"Katsina","Prod 7","","2011",192.8534330232
"Kebbi","Area 7","","2010",4.63170544757733
"Kebbi","Area 7","","2011",5.1595948535
"Kebbi","Prod 7","","2010",124.700074196678
"Kebbi","Prod 7","","2011",122.5434050568
"Kogi","Area 7","","2010",0.23610730906105
"Kogi","Area 7","","2011",0.2392554065
"Kogi","Prod 7","","2010",1.85134980880087
"Kogi","Prod 7","","2011",1.7896381485
"Kwara","Area 7","","2010",2.05310703531344
"Kwara","Area 7","","2011",2.0804817958
"Kwara","Prod 7","","2010",9.08552594030021
"Kwara","Prod 7","","2011",8.7826750756
"Lagos","Area 7","","2010",0.0615932110594
"Lagos","Area 7","","2011",0.0624144539
"Lagos","Prod 7","","2010",0.06420866388905
"Lagos","Prod 7","","2011",0.0960683751
"Nassarawa","Area 7","","2010",2.01204489460717
"Nassarawa","Area 7","","2011",2.0388721599
"Nassarawa","Prod 7","","2010",26.443268078306
"Nassarawa","Prod 7","","2011",25.561825809
"Niger","Area 7","","2010",2.9279770052012
"Niger","Area 7","","2011",2.2630166986
"Niger","Prod 7","","2010",21.6193425032818
"Niger","Prod 7","","2011",19.9653644198
"Ondo","Area 7","","2010",0.48248015329866
"Ondo","Area 7","","2011",0.488913222
"Ondo","Prod 7","","2010",5.46484218937275
"Ondo","Prod 7","","2011",8.1826807831
"Oyo","Area 7","","2010",0.74938406788941
"Oyo","Area 7","","2011",0.7593758555
"Oyo","Prod 7","","2010",6.4957764967753
"Oyo","Prod 7","","2011",6.2792506135
"Plateau","Area 7","","2010",2.37133862578702
"Plateau","Area 7","","2011",2.4029564741
"Plateau","Prod 7","","2010",28.9688088579419
"Plateau","Prod 7","","2011",28.003181896
"Rivers","Area 7","","2010",0.42088694223926
"Rivers","Area 7","","2011",0.4264987681
"Rivers","Prod 7","","2010",3.07131442269277
"Rivers","Prod 7","","2011",2.9689372753
"Sokoto","Area 7","","2010",7.61100465370928
"Sokoto","Area 7","","2011",6.0991513824
"Sokoto","Prod 7","","2010",101.285748530335
"Sokoto","Prod 7","","2011",98.912890246
"Taraba","Area 7","","2010",4.82904462085957
"Taraba","Area 7","","2011",3.8800985491
"Taraba","Prod 7","","2010",51.9543405056789
"Taraba","Prod 7","","2011",49.2891958222
"Zamfara","Area 7","","2010",1.22151986860115
"Zamfara","Area 7","","2011",1.2378866685
"Zamfara","Prod 7","","2010",18.1496489926374
"Zamfara","Prod 7","","2011",17.5446606929
